Date,Value
2-Jan-17,116.2208
3-Jan-17,116.1306
4-Jan-17,115.9729
5-Jan-17,116.1821
6-Jan-17,116.4008
9-Jan-17,116.3324
10-Jan-17,116.1996
11-Jan-17,116.1526
12-Jan-17,115.7123
13-Jan-17,115.5563
16-Jan-17,115.8068
17-Jan-17,115.9739
18-Jan-17,115.9209
19-Jan-17,115.9412
20-Jan-17,115.9344
23-Jan-17,116.0148
24-Jan-17,116.3498
25-Jan-17,116.388
26-Jan-17,116.2479
27-Jan-17,116.1995
30-Jan-17,116.1454
31-Jan-17,116.4043
1-Feb-17,116.6341
2-Feb-17,116.7199
3-Feb-17,116.8038
6-Feb-17,116.7158
7-Feb-17,116.9003
8-Feb-17,116.7614
9-Feb-17,116.7244
10-Feb-17,116.8352
13-Feb-17,116.9116
14-Feb-17,116.9061
15-Feb-17,117.0254
16-Feb-17,117.059
17-Feb-17,116.9633
20-Feb-17,117.1099
21-Feb-17,117.216
22-Feb-17,117.3387
23-Feb-17,117.4708
24-Feb-17,117.6278
27-Feb-17,117.6304
28-Feb-17,117.6391
1-Mar-17,117.5739
2-Mar-17,117.5784
3-Mar-17,117.5281
6-Mar-17,117.3586
7-Mar-17,117.2936
8-Mar-17,117.2821
9-Mar-17,117.3453
10-Mar-17,117.137
13-Mar-17,117.2781
14-Mar-17,117.2995
15-Mar-17,117.2388
16-Mar-17,117.3515
17-Mar-17,117.522
20-Mar-17,117.6609
21-Mar-17,117.734
22-Mar-17,117.7915
23-Mar-17,117.8747
24-Mar-17,118.063
27-Mar-17,118.1462
28-Mar-17,118.2968
29-Mar-17,118.1774
30-Mar-17,117.9517
31-Mar-17,118.1536
3-Apr-17,118.2832
4-Apr-17,118.2874
5-Apr-17,118.4084
6-Apr-17,118.3546
7-Apr-17,118.2801
10-Apr-17,118.3573
11-Apr-17,118.5626
12-Apr-17,118.6876
13-Apr-17,118.6725
14-Apr-17,118.7812
17-Apr-17,118.7057
18-Apr-17,118.9902
19-Apr-17,118.8535
20-Apr-17,118.9043
21-Apr-17,119.0768
24-Apr-17,119.2971
25-Apr-17,119.4892
26-Apr-17,119.4838
27-Apr-17,119.3962
28-Apr-17,119.7376
2-May-17,119.7351
3-May-17,119.7684
4-May-17,119.8458
5-May-17,119.8979
8-May-17,119.8528
9-May-17,119.9679
10-May-17,119.8402
11-May-17,119.8488
12-May-17,119.8606
15-May-17,119.8852
16-May-17,119.9939
17-May-17,120.0468
18-May-17,119.941
22-May-17,119.878
23-May-17,120.0358
24-May-17,120.1338
25-May-17,120.2291
26-May-17,120.4421
29-May-17,120.4998
30-May-17,120.5019
31-May-17,120.5569
1-Jun-17,120.7635
2-Jun-17,120.8309
5-Jun-17,120.9802
6-Jun-17,121.162
7-Jun-17,121.0584
8-Jun-17,121.1334
9-Jun-17,120.9189
12-Jun-17,121.112
13-Jun-17,121.2136
14-Jun-17,121.2602
15-Jun-17,121.1419
16-Jun-17,121.2476
19-Jun-17,121.3
20-Jun-17,121.4921
21-Jun-17,121.4783
22-Jun-17,121.4344
23-Jun-17,121.5702
28-Jun-17,121.7886
29-Jun-17,121.526
30-Jun-17,121.5353
3-Jul-17,121.6514
4-Jul-17,121.7528
5-Jul-17,121.6117
6-Jul-17,121.5398
7-Jul-17,121.3571
10-Jul-17,121.328
11-Jul-17,121.4508
12-Jul-17,121.4483
13-Jul-17,121.5403
14-Jul-17,121.6968
17-Jul-17,121.8643
18-Jul-17,121.9405
19-Jul-17,121.9996
20-Jul-17,122.1979
21-Jul-17,122.1547
24-Jul-17,122.2668
25-Jul-17,122.1826
26-Jul-17,122.1106
27-Jul-17,122.0456
28-Jul-17,122.1226
31-Jul-17,122.1591
1-Aug-17,122.194
2-Aug-17,122.2971
3-Aug-17,122.2671
4-Aug-17,122.2556
7-Aug-17,122.2517
8-Aug-17,122.124
9-Aug-17,122.189
10-Aug-17,122.124
11-Aug-17,122.1404
14-Aug-17,122.1455
15-Aug-17,122.2119
16-Aug-17,122.2094
17-Aug-17,122.2367
18-Aug-17,122.3115
21-Aug-17,122.4648
22-Aug-17,122.5893
23-Aug-17,122.7384
24-Aug-17,122.6663
25-Aug-17,122.7249
28-Aug-17,122.8853
29-Aug-17,123.0323
31-Aug-17,123.1316
5-Sep-17,123.2647
6-Sep-17,123.1399
7-Sep-17,123.159
8-Sep-17,123.1894
11-Sep-17,123.3682
12-Sep-17,123.432
13-Sep-17,123.4604
14-Sep-17,123.4386
15-Sep-17,123.3948
18-Sep-17,123.4972
19-Sep-17,123.4458
20-Sep-17,123.3753
21-Sep-17,123.4124
22-Sep-17,123.2918
25-Sep-17,123.3755
26-Sep-17,123.2074
27-Sep-17,123.2463
28-Sep-17,123.1631
29-Sep-17,123.1715
2-Oct-17,123.4025
3-Oct-17,123.42
4-Oct-17,123.4222
5-Oct-17,123.4207
6-Oct-17,123.4102
9-Oct-17,123.3921
10-Oct-17,123.0085
11-Oct-17,122.8168
12-Oct-17,122.9368
13-Oct-17,123.2256
16-Oct-17,123.2748
17-Oct-17,123.2698
18-Oct-17,123.2692
19-Oct-17,123.2483
20-Oct-17,123.2218
23-Oct-17,123.2417
24-Oct-17,123.1671
25-Oct-17,123.0385
26-Oct-17,122.9252
27-Oct-17,122.6314
30-Oct-17,122.2859
31-Oct-17,122.74
1-Nov-17,122.7592
2-Nov-17,122.7992
3-Nov-17,122.7251
6-Nov-17,122.5993
7-Nov-17,122.2153
8-Nov-17,122.1694
9-Nov-17,121.9976
10-Nov-17,122.0432
13-Nov-17,122.1554
14-Nov-17,122.094
15-Nov-17,121.9986
16-Nov-17,122.0667
17-Nov-17,122.1078
20-Nov-17,122.1339
21-Nov-17,121.9236
22-Nov-17,121.2435
23-Nov-17,121.1683
24-Nov-17,121.6343
27-Nov-17,121.7732
28-Nov-17,122.0121
29-Nov-17,122.2962
30-Nov-17,122.1012
1-Dec-17,122.3377
4-Dec-17,122.6968
5-Dec-17,123.0402
6-Dec-17,123.3855
7-Dec-17,123.2708
8-Dec-17,123.2861
11-Dec-17,123.3949
12-Dec-17,123.5908
13-Dec-17,123.5598
14-Dec-17,123.4812
15-Dec-17,123.5819
18-Dec-17,123.3454
19-Dec-17,123.3021
20-Dec-17,123.5579
21-Dec-17,123.517
22-Dec-17,123.6316
25-Dec-17,123.7865
26-Dec-17,123.8949
27-Dec-17,123.9156
28-Dec-17,123.9177
29-Dec-17,124.0307
2-Jan-18,124.4634
3-Jan-18,124.6585
4-Jan-18,124.6294
5-Jan-18,124.7595
8-Jan-18,124.853
9-Jan-18,124.8752
10-Jan-18,124.9407
11-Jan-18,124.8528
12-Jan-18,124.9034
15-Jan-18,125.0156
16-Jan-18,125.0106
17-Jan-18,124.8215
18-Jan-18,124.8788
19-Jan-18,124.8608
22-Jan-18,124.9602
23-Jan-18,124.9447
24-Jan-18,124.9388
25-Jan-18,125.1758
26-Jan-18,125.551
29-Jan-18,125.6294
30-Jan-18,125.4649
31-Jan-18,125.4895
1-Feb-18,125.7255
2-Feb-18,125.9884
5-Feb-18,126.2009
6-Feb-18,126.2215
7-Feb-18,126.1224
8-Feb-18,126.1112
9-Feb-18,126.0292
12-Feb-18,126.1331
13-Feb-18,126.063
14-Feb-18,126.0643
15-Feb-18,126.1074
16-Feb-18,126.2281
19-Feb-18,126.4302
20-Feb-18,126.599
21-Feb-18,126.5706
22-Feb-18,126.6427
23-Feb-18,126.6239
26-Feb-18,126.7977
27-Feb-18,126.8712
28-Feb-18,126.9044
1-Mar-18,126.8295
2-Mar-18,126.8379
5-Mar-18,126.9975
6-Mar-18,126.8759
7-Mar-18,126.8799
8-Mar-18,126.8522
9-Mar-18,126.6502
12-Mar-18,126.5925
13-Mar-18,126.5555
14-Mar-18,126.2383
15-Mar-18,126.3928
16-Mar-18,126.1744
19-Mar-18,126.1936
20-Mar-18,126.2538
21-Mar-18,126.2425
22-Mar-18,126.6135
23-Mar-18,126.7442
26-Mar-18,126.3852
27-Mar-18,126.3212
28-Mar-18,126.2731
29-Mar-18,126.313
30-Mar-18,126.4479
2-Apr-18,126.88
3-Apr-18,126.8516
4-Apr-18,126.9036
5-Apr-18,126.8429
6-Apr-18,126.5752
9-Apr-18,126.392
10-Apr-18,126.5161
11-Apr-18,126.6244
12-Apr-18,126.3597
13-Apr-18,126.7055
16-Apr-18,127.0448
17-Apr-18,126.8675
18-Apr-18,126.9631
19-Apr-18,127.1362
20-Apr-18,127.5574
24-Apr-18,127.8253
25-Apr-18,127.7825
26-Apr-18,127.9359
27-Apr-18,127.9158
30-Apr-18,127.9023
2-May-18,128.0191
3-May-18,127.6815
4-May-18,127.2985
7-May-18,126.8163
8-May-18,126.6565
9-May-18,126.5634
10-May-18,126.3934
11-May-18,126.6692
14-May-18,126.714
15-May-18,126.3835
16-May-18,126.0027
17-May-18,125.4792
18-May-18,125.4342
21-May-18,125.3466
22-May-18,125.1615
23-May-18,125.5234
24-May-18,125.2356
25-May-18,125.7954
28-May-18,125.6071
29-May-18,126.1455
30-May-18,126.461
31-May-18,126.7484
1-Jun-18,126.4883
4-Jun-18,126.1814
5-Jun-18,125.8242
6-Jun-18,125.688
7-Jun-18,125.3916
8-Jun-18,125.5048
11-Jun-18,125.5259
12-Jun-18,125.4234
13-Jun-18,125.3306
14-Jun-18,124.5358
18-Jun-18,124.6647
19-Jun-18,124.4381
20-Jun-18,124.0622
21-Jun-18,124.1557
22-Jun-18,124.2545
25-Jun-18,124.7664
26-Jun-18,125.1923
27-Jun-18,124.3138
28-Jun-18,124.7017
29-Jun-18,125.1355
2-Jul-18,125.3897
3-Jul-18,124.9952
4-Jul-18,124.7013
5-Jul-18,124.3549
6-Jul-18,124.3686
9-Jul-18,124.6435
10-Jul-18,124.8737
11-Jul-18,124.769
12-Jul-18,124.4439
13-Jul-18,123.9821
16-Jul-18,124.3123
17-Jul-18,124.4278
18-Jul-18,124.3713
19-Jul-18,124.9548
20-Jul-18,124.7232
23-Jul-18,124.866
24-Jul-18,125.4648
25-Jul-18,125.4064
26-Jul-18,124.8488
27-Jul-18,125.1022
30-Jul-18,124.9601
31-Jul-18,124.8271
1-Aug-18,124.6314
2-Aug-18,124.6323
3-Aug-18,123.8784
6-Aug-18,124.1793
7-Aug-18,123.8292
8-Aug-18,123.6562
9-Aug-18,124.0083
10-Aug-18,123.887
13-Aug-18,122.9235
14-Aug-18,121.759
15-Aug-18,121.9694
16-Aug-18,121.5573
17-Aug-18,121.0894
20-Aug-18,120.6332
27-Aug-18,120.7704
28-Aug-18,121.1132
29-Aug-18,121.2063
31-Aug-18,121.7252
3-Sep-18,121.7496
4-Sep-18,122.1342
5-Sep-18,122.5013
6-Sep-18,122.4802
7-Sep-18,122.706
10-Sep-18,123.3405
11-Sep-18,123.2847
12-Sep-18,122.9504
13-Sep-18,122.7728
14-Sep-18,122.9688
17-Sep-18,124.6169
18-Sep-18,124.1547
19-Sep-18,124.0508
20-Sep-18,124.262
21-Sep-18,124.3484
24-Sep-18,124.4365
25-Sep-18,124.8219
26-Sep-18,124.9663
27-Sep-18,125.0294
28-Sep-18,125.4256
1-Oct-18,126.202
2-Oct-18,126.268
3-Oct-18,126.1155
4-Oct-18,125.4791
5-Oct-18,125.0176
8-Oct-18,124.9799
9-Oct-18,124.7775
10-Oct-18,125.0867
11-Oct-18,125.2953
12-Oct-18,125.5515
15-Oct-18,126.099
16-Oct-18,127.1324
17-Oct-18,127.133
18-Oct-18,127.9379
19-Oct-18,128.1838
22-Oct-18,127.7746
23-Oct-18,127.7192
24-Oct-18,127.0022
25-Oct-18,127.3347
26-Oct-18,127.5507
30-Oct-18,128.6204
31-Oct-18,129.0634
1-Nov-18,129.4108
2-Nov-18,129.2208
5-Nov-18,130.1019
6-Nov-18,130.2876
7-Nov-18,132.4667
8-Nov-18,132.1053
9-Nov-18,131.6313
12-Nov-18,131.3667
13-Nov-18,132.0972
14-Nov-18,132.3657
15-Nov-18,132.92
16-Nov-18,133.4155
19-Nov-18,133.6701
20-Nov-18,133.6403
21-Nov-18,133.4042
22-Nov-18,132.911
23-Nov-18,133.1029
26-Nov-18,133.3555
27-Nov-18,134.1008
28-Nov-18,134.0882
29-Nov-18,133.9879
30-Nov-18,134.4382
3-Dec-18,134.4579
4-Dec-18,134.5261
5-Dec-18,134.2221
6-Dec-18,134.075
7-Dec-18,134.1324
10-Dec-18,133.7913
11-Dec-18,133.7591
12-Dec-18,133.6193
13-Dec-18,133.2227
14-Dec-18,133.0533
17-Dec-18,133.084
18-Dec-18,133.2335
19-Dec-18,133.6624
20-Dec-18,134.0013
21-Dec-18,135.0383
24-Dec-18,135.3247
25-Dec-18,135.2455
26-Dec-18,135.1913
27-Dec-18,135.3125
28-Dec-18,135.4695
31-Dec-18,135.9026
2-Jan-19,136.1239
3-Jan-19,135.9458
4-Jan-19,135.7036
7-Jan-19,135.9669
8-Jan-19,136.189
9-Jan-19,135.9857
10-Jan-19,136.1241
11-Jan-19,136.0374
14-Jan-19,136.7965
15-Jan-19,136.7147
16-Jan-19,137.5077
17-Jan-19,137.8212
18-Jan-19,138.092
21-Jan-19,138.4098
22-Jan-19,138.4187
23-Jan-19,138.4673
