Date,Value
2-Jan-17,47.65052
3-Jan-17,47.38409
4-Jan-17,46.97492
5-Jan-17,47.02895
6-Jan-17,47.15914
9-Jan-17,47.37217
10-Jan-17,47.49059
11-Jan-17,47.45253
12-Jan-17,47.27886
13-Jan-17,47.82091
16-Jan-17,48.05362
17-Jan-17,48.2797
18-Jan-17,48.45083
19-Jan-17,48.50938
20-Jan-17,48.3252
23-Jan-17,48.45996
24-Jan-17,48.65114
25-Jan-17,48.96909
26-Jan-17,48.60441
27-Jan-17,48.79255
30-Jan-17,48.84891
31-Jan-17,49.53017
1-Feb-17,49.65591
2-Feb-17,49.95254
3-Feb-17,50.03007
6-Feb-17,50.20942
7-Feb-17,50.06995
8-Feb-17,50.09936
9-Feb-17,50.35007
10-Feb-17,50.55679
13-Feb-17,50.43049
14-Feb-17,50.62245
15-Feb-17,50.68012
16-Feb-17,50.71427
17-Feb-17,50.80418
20-Feb-17,50.89276
21-Feb-17,51.00175
22-Feb-17,51.1053
23-Feb-17,51.02871
24-Feb-17,51.22765
27-Feb-17,51.06116
28-Feb-17,51.08755
1-Mar-17,51.06049
2-Mar-17,51.49398
3-Mar-17,51.6915
6-Mar-17,51.80035
7-Mar-17,51.97355
8-Mar-17,51.79823
9-Mar-17,51.54395
10-Mar-17,51.4343
13-Mar-17,51.55553
14-Mar-17,51.55066
15-Mar-17,51.49507
16-Mar-17,51.69057
17-Mar-17,51.97374
20-Mar-17,52.05499
21-Mar-17,52.10223
22-Mar-17,52.1094
23-Mar-17,52.00228
24-Mar-17,51.98157
27-Mar-17,52.06224
28-Mar-17,52.00675
29-Mar-17,52.11147
30-Mar-17,52.02543
31-Mar-17,52.08563
3-Apr-17,52.13998
4-Apr-17,52.10875
5-Apr-17,52.24822
6-Apr-17,52.40934
7-Apr-17,52.24524
10-Apr-17,52.29861
11-Apr-17,52.79916
12-Apr-17,52.77155
13-Apr-17,52.75153
14-Apr-17,52.51205
17-Apr-17,52.56784
18-Apr-17,52.84502
19-Apr-17,52.86337
20-Apr-17,52.776
21-Apr-17,53.22584
24-Apr-17,53.38179
25-Apr-17,53.94872
26-Apr-17,54.23908
27-Apr-17,54.32864
28-Apr-17,54.39796
2-May-17,54.43856
3-May-17,54.43486
4-May-17,54.4392
5-May-17,54.09442
8-May-17,54.24342
9-May-17,54.25182
10-May-17,54.44604
11-May-17,54.56975
12-May-17,54.42003
15-May-17,54.38048
16-May-17,54.66184
17-May-17,54.76032
18-May-17,54.56514
22-May-17,54.35047
23-May-17,54.76815
24-May-17,55.16686
25-May-17,55.48063
26-May-17,55.50551
29-May-17,55.56758
30-May-17,55.72592
31-May-17,55.80489
1-Jun-17,55.98071
2-Jun-17,55.8955
5-Jun-17,56.15961
6-Jun-17,56.16212
7-Jun-17,56.09723
8-Jun-17,55.97931
9-Jun-17,56.00075
12-Jun-17,56.13579
13-Jun-17,56.319
14-Jun-17,56.37506
15-Jun-17,56.31546
16-Jun-17,56.09495
19-Jun-17,56.02899
20-Jun-17,56.58272
21-Jun-17,56.55521
22-Jun-17,56.52854
23-Jun-17,56.6936
28-Jun-17,56.87366
29-Jun-17,56.95778
30-Jun-17,56.77789
3-Jul-17,57.02218
4-Jul-17,57.1111
5-Jul-17,57.30993
6-Jul-17,57.06322
7-Jul-17,57.13447
10-Jul-17,57.01407
11-Jul-17,57.34113
12-Jul-17,57.70603
13-Jul-17,57.95789
14-Jul-17,58.32879
17-Jul-17,58.5539
18-Jul-17,58.87147
19-Jul-17,58.85014
20-Jul-17,59.1727
21-Jul-17,59.16975
24-Jul-17,59.46764
25-Jul-17,59.61995
26-Jul-17,59.90968
27-Jul-17,60.07822
28-Jul-17,60.45283
31-Jul-17,60.33809
1-Aug-17,60.22519
2-Aug-17,59.90042
3-Aug-17,60.05681
4-Aug-17,60.29838
7-Aug-17,60.67675
8-Aug-17,60.91307
9-Aug-17,60.79506
10-Aug-17,60.69093
11-Aug-17,60.55653
14-Aug-17,60.55942
