Date,Value
1/5/2017,11.36828
1/6/2017,11.37511
1/9/2017,11.39268
1/10/2017,11.40143
1/2/2017,11.39709
1/11/2017,11.40415
2/22/2017,11.69309
3/7/2017,11.75726
2/6/2017,11.65764
3/20/2017,11.7901
1/3/2017,11.39627
2/13/2017,11.68753
1/20/2017,11.53415
1/12/2017,11.4077
2/23/2017,11.68577
2/7/2017,11.6574
3/8/2017,11.75522
1/23/2017,11.55705
3/21/2017,11.79708
1/4/2017,11.37661
2/14/2017,11.70041
1/13/2017,11.48664
2/24/2017,11.69183
2/8/2017,11.66463
3/9/2017,11.75208
1/16/2017,11.50706
3/22/2017,11.79851
2/27/2017,11.68617
1/24/2017,11.55249
2/15/2017,11.69934
4/3/2017,11.82459
3/23/2017,11.79741
2/28/2017,11.68932
2/9/2017,11.68254
3/10/2017,11.74941
1/17/2017,11.5087
1/25/2017,11.57204
2/16/2017,11.67808
3/24/2017,11.79994
4/4/2017,11.82689
2/10/2017,11.68743
3/1/2017,11.68922
3/13/2017,11.76259
1/18/2017,11.53028
1/26/2017,11.55795
2/17/2017,11.68328
1/19/2017,11.53839
4/17/2017,11.88587
3/2/2017,11.72276
3/14/2017,11.76414
3/27/2017,11.80996
4/5/2017,11.83744
1/27/2017,11.57007
2/20/2017,11.69234
5/2/2017,11.97697
4/18/2017,11.89608
3/3/2017,11.738
4/6/2017,11.8394
3/28/2017,11.81733
1/30/2017,11.57428
3/15/2017,11.76132
5/3/2017,11.97884
2/21/2017,11.68662
4/19/2017,11.90953
3/29/2017,11.82202
1/31/2017,11.62174
3/6/2017,11.74501
3/16/2017,11.76749
5/4/2017,11.98013
4/7/2017,11.84666
5/15/2017,12.02913
3/30/2017,11.81647
5/29/2017,12.09946
4/20/2017,11.90458
2/1/2017,11.61901
5/5/2017,11.97783
3/17/2017,11.78353
5/16/2017,12.0346
4/10/2017,11.84836
5/30/2017,12.10367
4/21/2017,11.92193
2/2/2017,11.63582
3/31/2017,11.81987
6/9/2017,12.13602
5/8/2017,11.99632
5/17/2017,12.04296
4/11/2017,11.88697
2/3/2017,11.64647
6/28/2017,12.18783
5/31/2017,12.10507
5/9/2017,12.00322
4/24/2017,11.93396
6/12/2017,12.15073
9/6/2017,12.52056
5/18/2017,12.05058
4/12/2017,11.88399
6/29/2017,12.2032
5/10/2017,12.02132
6/1/2017,12.11241
4/25/2017,11.95131
5/22/2017,12.06247
9/7/2017,12.53643
6/13/2017,12.15643
6/2/2017,12.11174
4/13/2017,11.88707
6/30/2017,12.19876
5/11/2017,12.03465
4/26/2017,11.96172
6/14/2017,12.1577
6/5/2017,12.13519
5/23/2017,12.0724
9/8/2017,12.54959
4/14/2017,11.87327
5/12/2017,12.0225
7/3/2017,12.21235
4/27/2017,11.96456
6/15/2017,12.16043
5/24/2017,12.0822
6/6/2017,12.13518
9/11/2017,12.55678
10/13/2017,12.60701
7/4/2017,12.21478
6/16/2017,12.15343
4/28/2017,11.96405
5/25/2017,12.09229
9/12/2017,12.56639
6/7/2017,12.13746
10/16/2017,12.61899
5/26/2017,12.0933
7/5/2017,12.22584
6/19/2017,12.15696
6/8/2017,12.13739
9/13/2017,12.57329
10/17/2017,12.62809
7/6/2017,12.22668
6/20/2017,12.17
9/14/2017,12.56469
10/18/2017,12.64307
6/21/2017,12.17335
7/7/2017,12.22808
9/15/2017,12.56357
10/19/2017,12.65023
6/22/2017,12.17045
9/18/2017,12.5687
7/10/2017,12.23019
10/20/2017,12.66447
6/23/2017,12.17989
9/19/2017,12.55229
7/11/2017,12.24684
10/23/2017,12.67713
9/20/2017,12.54778
7/12/2017,12.27213
10/24/2017,12.67535
9/21/2017,12.56106
7/13/2017,12.2784
10/25/2017,12.67501
10/26/2017,12.70034
9/22/2017,12.53495
7/14/2017,12.2843
10/27/2017,12.6935
9/25/2017,12.55021
7/17/2017,12.30352
10/30/2017,12.7178
9/26/2017,12.53859
7/18/2017,12.31437
10/31/2017,12.73197
9/27/2017,12.55307
7/19/2017,12.31096
9/28/2017,12.52114
11/1/2017,12.77408
7/20/2017,12.33447
11/2/2017,12.80813
9/29/2017,12.53609
7/21/2017,12.32806
11/3/2017,12.81497
10/2/2017,12.54458
11/6/2017,12.80249
10/3/2017,12.5477
7/24/2017,12.33954
11/7/2017,12.83456
7/25/2017,12.34231
10/4/2017,12.54928
11/8/2017,12.81701
7/26/2017,12.35079
10/5/2017,12.5621
11/9/2017,12.81689
7/27/2017,12.35721
10/6/2017,12.56246
11/10/2017,12.79669
7/28/2017,12.37038
10/9/2017,12.56217
11/13/2017,12.79155
7/31/2017,12.37417
10/10/2017,12.5348
11/14/2017,12.78892
10/11/2017,12.57359
11/15/2017,12.8075
8/1/2017,12.3748
11/16/2017,12.7811
10/12/2017,12.58251
8/2/2017,12.36593
11/17/2017,12.78087
8/3/2017,12.37018
11/20/2017,12.76954
8/4/2017,12.37651
11/21/2017,12.7387
8/7/2017,12.3928
11/22/2017,12.7576
8/8/2017,12.40219
11/23/2017,12.77075
8/9/2017,12.40045
11/24/2017,12.7584
8/10/2017,12.39469
11/27/2017,12.76242
8/11/2017,12.39515
11/28/2017,12.7724
8/14/2017,12.39834
11/29/2017,12.74452
8/15/2017,12.42168
11/30/2017,12.75006
8/16/2017,12.40265
12/1/2017,12.77287
8/17/2017,12.40533
12/4/2017,12.77616
8/18/2017,12.41576
12/5/2017,12.80226
8/21/2017,12.43169
12/6/2017,12.82027
8/22/2017,12.44888
12/7/2017,12.8111
