Date,Value
1/6/2017,1.026518
1/9/2017,1.028159
1/10/2017,1.027415
1/2/2017,1.026716
1/11/2017,1.026526
2/22/2017,1.043927
3/20/2017,1.051474
3/7/2017,1.046958
2/13/2017,1.037541
1/3/2017,1.027114
1/20/2017,1.026873
2/6/2017,1.039183
1/12/2017,1.021707
2/23/2017,1.044854
1/4/2017,1.028733
2/7/2017,1.037117
3/8/2017,1.047736
3/21/2017,1.052137
1/13/2017,1.031652
2/14/2017,1.040272
1/23/2017,1.031478
2/24/2017,1.046158
2/8/2017,1.035127
3/9/2017,1.046608
2/15/2017,1.039963
1/24/2017,1.030838
3/22/2017,1.05314
1/16/2017,1.029768
1/5/2017,1.027747
2/27/2017,1.04476
4/3/2017,1.057131
2/9/2017,1.038527
3/10/2017,1.048173
3/23/2017,1.053909
2/28/2017,1.045694
1/25/2017,1.030793
1/17/2017,1.027651
2/16/2017,1.038875
2/10/2017,1.039231
3/24/2017,1.053591
4/4/2017,1.057571
3/13/2017,1.049839
1/18/2017,1.030179
1/26/2017,1.028883
3/1/2017,1.045464
2/17/2017,1.042559
4/5/2017,1.057101
4/17/2017,1.06108
1/19/2017,1.029431
3/27/2017,1.054836
3/2/2017,1.044424
3/14/2017,1.049329
1/27/2017,1.030644
2/20/2017,1.044012
5/2/2017,1.068154
3/3/2017,1.045106
4/6/2017,1.05729
3/28/2017,1.054171
4/18/2017,1.062191
1/30/2017,1.032556
3/15/2017,1.049556
5/3/2017,1.069082
2/21/2017,1.043615
4/19/2017,1.063002
1/31/2017,1.035821
3/6/2017,1.046733
3/29/2017,1.055833
3/16/2017,1.050509
4/7/2017,1.058236
5/4/2017,1.069405
5/15/2017,1.073834
4/20/2017,1.063223
5/29/2017,1.077948
3/17/2017,1.052975
2/1/2017,1.035048
3/30/2017,1.055502
5/5/2017,1.069258
5/16/2017,1.073975
4/10/2017,1.058777
5/30/2017,1.078638
4/21/2017,1.063694
2/2/2017,1.03517
3/31/2017,1.056614
6/9/2017,1.082898
5/8/2017,1.071416
4/11/2017,1.059796
5/17/2017,1.073595
6/28/2017,1.089752
5/31/2017,1.079461
2/3/2017,1.035797
5/9/2017,1.070098
4/24/2017,1.064968
6/12/2017,1.083542
5/18/2017,1.074266
9/6/2017,1.11625
4/12/2017,1.060188
6/29/2017,1.090458
6/1/2017,1.079329
5/10/2017,1.071848
4/25/2017,1.066186
6/13/2017,1.084251
5/22/2017,1.075437
9/7/2017,1.116711
4/13/2017,1.06109
6/2/2017,1.07998
6/30/2017,1.090191
5/11/2017,1.072258
