Date,Value
1/6/2017,1.046045
1/9/2017,1.049138
1/10/2017,1.046841
1/2/2017,1.040599
1/11/2017,1.044442
1/3/2017,1.046611
2/22/2017,1.048687
3/20/2017,1.070009
3/7/2017,1.064231
2/13/2017,1.047735
1/20/2017,1.033066
2/6/2017,1.023875
1/12/2017,1.040694
2/23/2017,1.053386
3/8/2017,1.070592
3/21/2017,1.076693
2/14/2017,1.048355
1/4/2017,1.044954
2/7/2017,1.032189
1/23/2017,1.034753
1/13/2017,1.034159
2/24/2017,1.060492
2/8/2017,1.035265
3/9/2017,1.083027
2/15/2017,1.046172
1/24/2017,1.031557
3/22/2017,1.083628
1/16/2017,1.037373
1/5/2017,1.047928
2/27/2017,1.059812
4/3/2017,1.098782
2/9/2017,1.037173
3/10/2017,1.087185
3/23/2017,1.084368
2/28/2017,1.06331
1/25/2017,1.031909
1/17/2017,1.0395
2/16/2017,1.0458
4/4/2017,1.098583
2/10/2017,1.035118
3/24/2017,1.095741
3/13/2017,1.088766
1/18/2017,1.039429
1/26/2017,1.030806
3/1/2017,1.065077
2/17/2017,1.047042
1/19/2017,1.036122
3/27/2017,1.094171
4/5/2017,1.101208
3/2/2017,1.067889
4/17/2017,1.086132
3/14/2017,1.081911
1/27/2017,1.027915
2/20/2017,1.045854
5/2/2017,1.108371
3/3/2017,1.067222
1/30/2017,1.02227
3/15/2017,1.071896
4/6/2017,1.100152
3/28/2017,1.095593
4/18/2017,1.093201
2/21/2017,1.045769
5/3/2017,1.115324
4/19/2017,1.098257
1/31/2017,1.029025
3/6/2017,1.066711
3/29/2017,1.099662
3/16/2017,1.067107
5/4/2017,1.119009
4/7/2017,1.097588
5/15/2017,1.127622
4/20/2017,1.105433
5/29/2017,1.127433
3/17/2017,1.067302
2/1/2017,1.022388
3/30/2017,1.094022
5/5/2017,1.124087
4/10/2017,1.092573
5/16/2017,1.122832
3/31/2017,1.094727
5/30/2017,1.129298
4/21/2017,1.115164
2/2/2017,1.025824
6/9/2017,1.128357
5/8/2017,1.123964
4/11/2017,1.084539
5/17/2017,1.123594
6/28/2017,1.121594
5/31/2017,1.130801
2/3/2017,1.025662
5/9/2017,1.129435
4/24/2017,1.111948
6/12/2017,1.130546
5/18/2017,1.125698
9/6/2017,1.147182
4/12/2017,1.085849
6/29/2017,1.117714
6/1/2017,1.138456
5/10/2017,1.124194
4/25/2017,1.111463
6/13/2017,1.122368
5/22/2017,1.119809
9/7/2017,1.144362
6/2/2017,1.138441
4/13/2017,1.087747
6/30/2017,1.120293
5/11/2017,1.114605
6/14/2017,1.127068
4/26/2017,1.105483
6/5/2017,1.132684
5/23/2017,1.118483
4/14/2017,1.087067
9/8/2017,1.152314
5/12/2017,1.118653
